2020-06-04 09:12:57 status installed remmina-plugin-rdp:amd64 1.2.0-rcgit.29+dfsg-1ubuntu1.2
2020-06-04 09:12:57 configure remmina-plugin-vnc:amd64 1.2.0-rcgit.29+dfsg-1ubuntu1.2 <none>
2020-06-04 09:12:57 status unpacked remmina-plugin-vnc:amd64 1.2.0-rcgit.29+dfsg-1ubuntu1.2
2020-06-04 09:12:57 status half-configured remmina-plugin-vnc:amd64 1.2.0-rcgit.29+dfsg-1ubuntu1.2
2020-06-04 09:12:58 status installed remmina-plugin-vnc:amd64 1.2.0-rcgit.29+dfsg-1ubuntu1.2
2020-06-04 09:12:58 configure remmina-plugin-secret:amd64 1.2.0-rcgit.29+dfsg-1ubuntu1.2 <none>
2020-06-04 09:12:58 status unpacked remmina-plugin-secret:amd64 1.2.0-rcgit.29+dfsg-1ubuntu1.2
2020-06-04 09:12:58 status half-configured remmina-plugin-secret:amd64 1.2.0-rcgit.29+dfsg-1ubuntu1.2
2020-06-04 09:12:58 status installed remmina-plugin-secret:amd64 1.2.0-rcgit.29+dfsg-1ubuntu1.2
2020-06-04 09:12:58 trigproc shared-mime-info:amd64 1.9-2 <none>
2020-06-04 09:12:58 status half-configured shared-mime-info:amd64 1.9-2
2020-06-04 09:13:50 status installed shared-mime-info:amd64 1.9-2
2020-06-04 09:13:50 trigproc gnome-menus:amd64 3.13.3-11ubuntu1.1 <none>
2020-06-04 09:13:50 status half-configured gnome-menus:amd64 3.13.3-11ubuntu1.1
2020-06-04 09:13:50 status installed gnome-menus:amd64 3.13.3-11ubuntu1.1
2020-06-04 09:13:50 trigproc hicolor-icon-theme:all 0.17-2 <none>
2020-06-04 09:13:50 status half-configured hicolor-icon-theme:all 0.17-2
2020-06-04 09:13:51 status installed hicolor-icon-theme:all 0.17-2
2020-06-04 09:13:51 trigproc mime-support:all 3.60ubuntu1 <none>
2020-06-04 09:13:51 status half-configured mime-support:all 3.60ubuntu1
2020-06-04 09:13:51 status installed mime-support:all 3.60ubuntu1
2020-06-04 09:13:51 trigproc desktop-file-utils:amd64 0.23-1ubuntu3.18.04.2 <none>
2020-06-04 09:13:51 status half-configured desktop-file-utils:amd64 0.23-1ubuntu3.18.04.2
2020-06-04 09:13:51 status installed desktop-file-utils:amd64 0.23-1ubuntu3.18.04.2
2020-06-04 09:13:52 trigproc man-db:amd64 2.8.3-2ubuntu0.1 <none>
2020-06-04 09:13:52 status half-configured man-db:amd64 2.8.3-2ubuntu0.1
2020-06-04 09:13:54 status installed man-db:amd64 2.8.3-2ubuntu0.1
2020-06-08 11:08:14 startup archives unpack
2020-06-08 11:08:48 upgrade firefox:amd64 76.0.1+build1-0ubuntu0.18.04.1 77.0.1+build1-0ubuntu0.18.04.1
2020-06-08 11:08:48 status half-configured firefox:amd64 76.0.1+build1-0ubuntu0.18.04.1
2020-06-08 11:08:48 status unpacked firefox:amd64 76.0.1+build1-0ubuntu0.18.04.1
2020-06-08 11:08:48 status half-installed firefox:amd64 76.0.1+build1-0ubuntu0.18.04.1
2020-06-08 11:08:57 status triggers-pending gnome-menus:amd64 3.13.3-11ubuntu1.1
2020-06-08 11:08:57 status triggers-pending desktop-file-utils:amd64 0.23-1ubuntu3.18.04.2
2020-06-08 11:08:58 status triggers-pending mime-support:all 3.60ubuntu1
2020-06-08 11:08:58 status triggers-pending hicolor-icon-theme:all 0.17-2
2020-06-08 11:08:58 status triggers-pending man-db:amd64 2.8.3-2ubuntu0.1
2020-06-08 11:08:58 status half-installed firefox:amd64 76.0.1+build1-0ubuntu0.18.04.1
2020-06-08 11:08:58 status unpacked firefox:amd64 77.0.1+build1-0ubuntu0.18.04.1
2020-06-08 11:08:58 status unpacked firefox:amd64 77.0.1+build1-0ubuntu0.18.04.1
2020-06-08 11:08:59 startup packages configure
